Movie_Name,Genre,Duration,Ratings,Voting_counts
ClearMind,Mystery,1h 25m,4.1,2.2K
Waterdrop,Mystery,1h 30m,7.0,62
Prasanna Vadanam,Mystery,2h 26m,6.6,581
Tell No Lies,Mystery,1h 44m,5.0,252
#Models Wanted,Mystery,N/A,8.9,189
Amp House Massacre,Mystery,1h 20m,3.8,206
Final Girl: Halloween,Mystery,1h 25m,3.8,116
Darah Nyai,Mystery,1h 30m,7.0,8
The Sintern,Mystery,1h 38m,4.7,158
7/G,Mystery,2h 20m,4.3,645
Last Stop: Rocafort St.,Mystery,1h 29m,4.1,530
Next to Us,Mystery,2h 5m,4.9,231
The Redemption of Sin,Mystery,1h 56m,5.6,257
Dark Feathers: Dance of the Geisha,Mystery,1h 33m,6.0,1.1K
A Stranger in the Woods,Mystery,1h 23m,4.8,715
The Stalking,Mystery,1h 12m,3.8,56
Killer Influence,Mystery,1h 24m,2.6,334
Go Away,Mystery,N/A,4.2,234
You Are Not Alone,Mystery,1h 45m,6.0,83
Partners,Mystery,1h 50m,4.8,130
Bhoothaddam Bhaskar Narayana,Mystery,2h 21m,6.2,296
Room 0,Mystery,1h 42m,3.1,222
The Choice,Mystery,40m,9.5,8
Aftermath,Mystery,1h 18m,5.2,4.4K
Rakshana,Mystery,2h 19m,5.5,1.2K
Kuramerukagari,Mystery,1h 1m,5.8,93
Snow Valley,Mystery,1h 15m,2.8,354
Night Curfew,Mystery,N/A,8.2,7
The Man Who Loved UFOs,Mystery,1h 47m,5.3,651
Kizumonogatari: Koyomi Vamp,Mystery,2h 24m,7.1,126
The Star City Murders,Mystery,1h 19m,4.1,156
Mannequin,Mystery,N/A,6.5,119
Burning Butterflies,Mystery,1h 43m,7.6,101
The Last Chainsaw Massacre,Mystery,1h 15m,3.7,43
Buying Time,Mystery,1h 24m,6.3,510
Algiers,Mystery,1h 33m,7.7,73
Wicked Season,Mystery,N/A,4.8,56
The Dragon's Tomb,Mystery,1h 17m,6.7,60
Simbaa,Mystery,2h 1m,5.7,2.2K
Nico,Mystery,1h 49m,8.2,51
The Apocalypse Box,Mystery,1h 26m,3.3,250
What Happened to Suzy,Mystery,1h 34m,6.3,97
Inti Number 13,Mystery,2h 7m,7.6,1.1K
A Thousand Cuts,Mystery,N/A,N/A,N/A
Secret,Mystery,1h 59m,3.9,770
A Song from the Dark,Mystery,1h 45m,4.9,2.2K
Carnage for Christmas,Mystery,1h 9m,4.5,355
Kaljiga,Mystery,1h 54m,8.4,44
Flashlight,Mystery,1h 17m,6.0,18
The Shadow,Mystery,1h 30m,6.4,291
Foreclosure 2,Mystery,1h 17m,3.2,150
LasseMajas detektivbyrå - Maskoten som försvann,Mystery,1h 30m,6.0,74
The Unseen Sister,Mystery,1h 52m,6.7,1.1K
The Birthday Boy,Mystery,1h 58m,8.0,3.1K
The Trail,Mystery,1h 20m,7.8,38
Octopus with Broken Arms,Mystery,1h 49m,6.1,362
Morena,Mystery,1h 46m,5.3,132
Guadalupe: Mother of Humanity,Mystery,1h 42m,6.9,44
The Temp,Mystery,N/A,6.0,51
Hunters on a White Field,Mystery,1h 40m,4.9,473
The Twelve Step Strangler,Mystery,N/A,4.6,8
Cold Blows the Wind,Mystery,1h 25m,5.7,810
Don't Look Back... I Know Your Origins,Mystery,1h 44m,3.7,116
Dr. Jason II: Lights & Shadows,Mystery,1h 2m,4.9,384
Dismissed,Mystery,1h 31m,5.9,135
Best Man Dead Man,Mystery,1h 23m,6.5,56
Memes & Nightmares,Mystery,1h 21m,5.7,96
Backfire,Mystery,N/A,N/A,N/A
Water Horse,Mystery,1h 25m,5.1,264
Like Aani Subscribe,Mystery,2h 20m,7.2,6.2K
Cidade; Campo,Mystery,1h 59m,6.3,160
Tenant,Mystery,1h 39m,3.7,214
Bato: Road to Death,Mystery,2h 17m,5.4,777
The Hunter's Anthology: The Demon Hunter,Mystery,2h 6m,4.7,105
Tragic,Mystery,1h 36m,9.0,21
DreadClub: Vampire's Verdict,Mystery,1h 28m,5.0,80
Somewhere Confidential,Mystery,N/A,9.2,12
Sakura,Mystery,1h 59m,6.2,81
Candlelight My Way,Mystery,1h 35m,N/A,N/A
The Epidemic,Mystery,1h 35m,5.9,72
A Cold Grave,Mystery,1h 15m,3.5,280
The Night Curse of Reatrei,Mystery,1h 35m,4.4,121
Huggin Molly,Mystery,54m,5.9,88
Fidan,Mystery,N/A,7.0,86
The Legend of the Vagabond Queen of Lagos,Mystery,1h 40m,7.8,50
I Married as the Replacement Bride,Mystery,N/A,7.5,47
Bodiless,Mystery,1h 30m,5.7,1.2K
Scopophobia,Mystery,1h 40m,5.3,92
Tears of Blood,Mystery,1h 28m,9.7,8
Zateryannye,Mystery,1h 30m,6.0,225
The Women in the Lakes,Mystery,2h 21m,4.9,34
Asher and Ruth,Mystery,1h 3m,N/A,N/A
200KG Vampire,Mystery,1h 33m,4.1,63
Waterdrop,Mystery,1h 48m,N/A,N/A
The Box,Mystery,1h 19m,3.3,87
Døde menn går på ski,Mystery,1h 29m,5.2,343
Midnight Taxi,Mystery,1h 37m,5.2,119
Beline,Mystery,1h 28m,5.5,1.3K
Karina,Mystery,1h 30m,6.3,70
Haunting Trophies,Mystery,2h 30m,6.2,95
Chithini,Mystery,2h 31m,6.1,554
PinkCity: A Psychedelic Meditation,Mystery,1h 35m,N/A,N/A
Asesinos Notables,Mystery,N/A,N/A,N/A
"Silent Night, Bloody Night 3: Descent",Mystery,1h 40m,3.2,213
That person has disappeared,Mystery,1h 44m,7.1,88
Dirty Thirty,Mystery,1h 36m,N/A,N/A
A Knife in the Dark,Mystery,1h 16m,3.2,91
Passages of Nexus,Mystery,1h 48m,5.3,327
Agastya - Chapter 1,Mystery,2h 48m,6.9,635
An Intruder Among Us,Mystery,N/A,8.8,42
Glass Casa,Mystery,1h 46m,7.7,52
The Secret of Pin-Up Island,Mystery,1h 47m,7.3,98
Dark Deceptions,Mystery,1h 22m,6.0,39
Levizia,Mystery,N/A,N/A,N/A
Idealnaya zhertva,Mystery,1h 32m,8.5,8
Not Your Average Family,Mystery,1h 37m,5.5,119
Housekeeping,Mystery,1h 38m,6.0,42
Soch - A perception,Mystery,N/A,8.2,40
Killerwood,Mystery,1h 24m,6.6,69
Videotheque,Mystery,1h 52m,5.2,108
We Are Tourists,Mystery,1h 37m,N/A,N/A
Night Demon,Mystery,1h,N/A,N/A
Cora,Mystery,N/A,7.1,28
Daitya,Mystery,1h 41m,7.1,10
Anno 2020,Mystery,2h 25m,8.6,25
Treasures of Terror: Vol 1,Mystery,N/A,4.2,21
The Gatekeeper,Mystery,1h 37m,5.5,21
Welcome to the Game,Mystery,1h 30m,6.0,70
Raktaksha,Mystery,1h 58m,6.1,1.7K
Suspect,Mystery,1h 34m,4.5,92
Zim Zim Ala Kazim,Mystery,1h 40m,3.6,115
Swakaryam Sambhavabahulam,Mystery,1h 56m,6.3,187
Dream Lock,Mystery,1h 40m,8.2,24
Dead Man,Mystery,1h 49m,5.1,220
Detective Conan vs. Kid the Phantom Thief,Mystery,1h 21m,6.1,178
Shri Swapankumarer Badami Hyenar Kobole,Mystery,2h 26m,5.6,336
Scarlet Blue,Mystery,1h 46m,5.6,21
Lotus,Mystery,1h 57m,7.0,41
Gizmo,Mystery,1h 17m,6.1,8
Lipstick on the Glass,Mystery,1h 56m,4.1,15
The Land of Morning Calm,Mystery,1h 53m,6.4,40
Ten Toes Down,Mystery,N/A,7.4,41
O Clube das Mulheres de Negócios,Mystery,1h 35m,4.7,115
Una historia y ya...,Mystery,1h 27m,3.9,44
The Mermaid,Mystery,1h 45m,7.8,36
Advent,Mystery,1h 59m,7.5,6
Gossip to Die For,Mystery,1h 34m,5.2,85
This Land of Mine,Mystery,1h 30m,4.5,38
Inquietus,Mystery,N/A,7.0,7
Amityville Turkey Day,Mystery,1h 34m,3.0,368
Hidden Memories,Mystery,1h 24m,5.8,33
Wishes of the Blue Girl,Mystery,1h 13m,4.3,382
Un trago de infierno,Mystery,1h 30m,7.6,5
Insane Like Me?,Mystery,1h 26m,4.4,60
Danger Zone,Mystery,2h 2m,8.7,6
Blue Christmas,Mystery,1h 19m,5.6,23
Muroi Shinji: Yaburezaru Mono,Mystery,1h 55m,6.3,31
Miss PJ,Mystery,1h 55m,5.3,67
Nature Cat's Nature Movie Special Extraordinaire,Mystery,53m,7.1,22
Churul,Mystery,1h 44m,9.2,195
Real Estate Sisters,Mystery,1h 24m,4.5,31
Mesken (Messuage),Mystery,1h 39m,6.8,51
Take Good Care,Mystery,1h 41m,6.1,8
Di Renjie: Tongtian xuan an,Mystery,1h 25m,6.8,21
Real Life Fiction,Mystery,1h 35m,4.1,81
Katabasis,Mystery,N/A,7.1,36
The Haunting of Hollywood,Mystery,1h 25m,6.8,276
The Victims,Mystery,1h 39m,5.9,97
El Juego Del Poder,Mystery,1h 35m,8.2,12
Who Killed Angel Adams?,Mystery,1h 16m,6.4,25
The Mystery of Humanoid Puppet,Mystery,1h 28m,6.8,62
Last Party,Mystery,N/A,8.3,23
Strangers,Mystery,1h 39m,6.6,10
Dream Thief,Mystery,N/A,N/A,N/A
Dindin,Mystery,1h 16m,N/A,N/A
Reptilians: Serpent Kings and Ancient Rulers,Mystery,3h 14m,N/A,N/A
Into the Box,Mystery,1h 36m,7.6,10
Nayan Rahasya,Mystery,1h 54m,4.8,172
Chandranum Policeum,Mystery,1h 53m,8.5,580
Bo Nan Za,Mystery,1h 1m,9.1,29
Dont,Mystery,47m,N/A,N/A
Teddiscare,Mystery,1h 22m,2.0,177
Nasibpura,Mystery,N/A,6.0,10
An Ordinary Killer,Mystery,N/A,N/A,N/A
Birthmark,Mystery,1h 57m,4.4,192
Astrid's Saints,Mystery,N/A,7.2,10
Bigul,Mystery,2h 24m,8.7,57
Phantasm,Mystery,11m,N/A,N/A
"Ivan Shade, Undead P.I.",Mystery,N/A,N/A,N/A
Durga,Mystery,2h 14m,8.6,174
10/31 Part 4,Mystery,1h 27m,5.5,19
Gunfighter Paradise,Mystery,N/A,8.8,18
Winner,Mystery,1h 8m,5.1,31
Who Killed Terrance Brown?,Mystery,1h 35m,6.7,13
Fanum: Ombre dal passato,Mystery,N/A,N/A,N/A
Rodnya,Mystery,1h 39m,5.9,14
Tale of the Land,Mystery,1h 39m,6.1,22
Pride,Mystery,2h 5m,9.0,13
Kaya,Mystery,N/A,7.6,5
Shadows of Betrayal: Chronicles of Ian Blair,Mystery,1h 5m,7.3,17
Joy Hanu Man,Mystery,2h 23m,8.9,27
Los visitados,Mystery,N/A,6.5,6
Lost Chapters,Mystery,1h 8m,6.7,22
Sanak,Mystery,2h 33m,8.7,10
L.I.F.E.,Mystery,1h 48m,4.1,31
Rangeet,Mystery,N/A,N/A,N/A
Dharma Daiva,Mystery,1h 52m,8.0,28
Riptide,Mystery,1h 25m,6.9,10
Ellige Payana Yavudo Daari,Mystery,2h 14m,8.3,258
The Journalist,Mystery,N/A,N/A,N/A
Changle zhen gui shi,Mystery,1h 28m,N/A,N/A
Danyang Mahar Tukar Nyawa,Mystery,1h 50m,5.9,10
Grimmwood,Mystery,N/A,8.1,17
The Monkey Men,Mystery,1h 46m,N/A,N/A
Creatures of Habit,Mystery,N/A,N/A,N/A
The Devil's Signature,Mystery,1h 27m,N/A,N/A
First Person Savior,Mystery,1h 21m,4.9,12
Ruki vverkh!,Mystery,1h 42m,5.5,280
Black.White.Red.,Mystery,1h 33m,7.8,25
The Psychiatrist: Session Begins,Mystery,N/A,N/A,N/A
The Spoils,Mystery,N/A,8.5,120
Kalponik,Mystery,53m,9.1,13
Dead Dead Full Dead,Mystery,1h 50m,6.6,14
Anak Perjanjian Syaitan 2,Mystery,1h 29m,6.4,34
SMB-plush presents trick or death,Mystery,2h,7.5,18
Case 19: Vichchhiya,Mystery,51m,N/A,N/A
Cluedo,Mystery,1h 18m,N/A,N/A
Jin Qian Bao Lei,Mystery,N/A,4.0,16
Mystery Creek,Mystery,1h 54m,N/A,N/A
Los Alamos,Mystery,1h 31m,N/A,N/A
Kadhai,Mystery,1h 40m,9.2,33
The Killing Performance,Mystery,2h 8m,5.8,29
Malam Keramat,Mystery,1h 30m,6.0,33
