Movie_Name,Genre,Duration,Ratings,Voting_counts
"Silex and the City, le film",Animation,1h 17m,4.9,60
Chikoo Bunty in the Ultimate Dream Chase,Animation,1h 30m,N/A,N/A
Peppa Pig: Peppa's Adventures Around the World,Animation,N/A,7.7,13
Le parfum d'Irak,Animation,1h 35m,7.9,54
TWST: Things We Said Today,Animation,1h 26m,7.0,70
Jon Vardar protiv Galaksijata,Animation,1h 26m,8.2,79
Inazuma Eleven Movie: The Legendary Kickoff,Animation,N/A,7.1,16
Detective Conan vs. Kid the Phantom Thief,Animation,1h 21m,6.1,178
Lilla spöket Laban spökar igen,Animation,44m,6.1,35
Rhythm of a Flower,Animation,1h 21m,7.3,15
Dead Dead Demon's Dededede Destruction Koushou,Animation,2h,7.0,158
Code Geass: Rozé of the Recapture - Part 1,Animation,1h 14m,7.6,47
Masha and the Bear. Wonder Park,Animation,58m,7.2,23
Love and Friendship,Animation,57m,N/A,N/A
Ganbatte Ikimasshoi,Animation,1h 35m,5.6,20
Dinonauts,Animation,1h 17m,6.4,9
The Umbrella Fairy,Animation,1h 35m,5.7,63
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,Animation,1h 10m,7.3,85
Dikkie Dik en de Verdwenen Knuffel,Animation,1h 2m,7.2,136
Nie Xiaoqian,Animation,1h 52m,6.5,19
Kral Sakir: Devler Uyandi,Animation,N/A,5.3,72
The Formula for Water,Animation,1h 26m,4.6,39
Yumi's Cells: The Movie,Animation,1h 33m,6.3,55
Uma & Haggen: Mitos,Animation,1h 34m,7.3,64
STEVE (A Minecraft Movie),Animation,1h 1m,6.9,14
Tay 2: Ebabil Takimi,Animation,1h 18m,4.9,46
Penelope & Everly's Holiday Adventure,Animation,N/A,9.2,5
Code Geass: Rozé of the Recapture: Part 3,Animation,1h 16m,7.2,29
Nature Cat's Nature Movie Special Extraordinaire,Animation,53m,7.1,22
Rocket Club: Across the Cosmos,Animation,1h 8m,7.5,22
Ivan Tsarevich i Seryy Volk 6,Animation,1h 25m,5.3,116
Luv You Shankar,Animation,2h,5.9,46
La Familia del Barrio: La Película,Animation,N/A,5.3,8
Transformers: 40th Anniversary Event,Animation,1h 36m,7.2,31
Jin Ling Yu Mao,Animation,1h 37m,5.5,36
Motu Patlu & The Race to the Diamond Valley,Animation,1h 12m,7.9,29
Max Beyond,Animation,1h 33m,6.6,19
Alex and Mia's Awesome Movie!!,Animation,1h 15m,N/A,N/A
Teacher's Pet,Animation,N/A,5.5,38
Pleasant Goat and Big Big Wolf: The World Guardians,Animation,1h 36m,6.6,18
Pui Pui Molcar the Movie: Molmax,Animation,1h 9m,6.4,22
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,Animation,50m,7.5,11
Life with Quincy 3,Animation,1h 13m,N/A,N/A
Bogyó és Babóca 6. - Csengettyuk,Animation,N/A,7.8,13
Ugly Sweater,Animation,1h 20m,5.9,22
Code Geass: Rozé of the Recapture: Part 2,Animation,1h 16m,7.7,33
Animal Tales of Christmas Magic,Animation,1h 12m,6.8,54
Becho,Animation,N/A,7.3,12
The Cheshire Cat,Animation,1h 4m,N/A,N/A
"Hey, Tete",Animation,2h 31m,6.4,9
Gill,Animation,1h 44m,N/A,N/A
Bread Barbershop: Celeb in Bakery Town,Animation,1h 17m,N/A,N/A
Treasure Fellowship,Animation,1h 26m,N/A,N/A
Motu Patlu & The Rise of Zombies,Animation,1h 14m,6.9,17
Magic Birds: I magiki pagida,Animation,1h 40m,N/A,N/A
Zuzubalândia: O Filme,Animation,1h,6.0,12
Tri bogatyrya. Ni dnya bez podviga,Animation,1h 1m,5.8,93
Dante's Divine Comedy,Animation,N/A,N/A,N/A
Bigfoot in Wonderland,Animation,1h 1m,N/A,N/A
Shed 17 & Project G-1 the Movie,Animation,1h 25m,N/A,N/A
Day of the Diesels,Animation,1h 40m,6.2,14
The Puffins: Arctic Games,Animation,N/A,8.1,10
Kittened,Animation,N/A,N/A,N/A
"Robotia, the Movie",Animation,1h 26m,7.4,35
Tri kota. Zimnie kanikuly,Animation,1h 5m,6.3,38
Ninja Doomscrolling,Animation,1h 36m,8.1,104
Adventures of Mickey Sherlock Mouse & Winnie the Pooh,Animation,N/A,4.9,12
Ya Boy Kongming! Road to Summer Sonia,Animation,1h 59m,7.3,46
Il segreto di Liberato,Animation,1h 30m,7.2,236
The Grump's Christmas,Animation,1h 5m,N/A,N/A
Sunburnt Unicorn,Animation,1h 21m,7.7,13
Marvel's Civil War Full Comic Dub Movie,Animation,1h 15m,N/A,N/A
