Movie_Name,Genre,Duration,Ratings,Voting_counts
The Big Trip 3: Race Around the World,Adventure,1h 25m,5.5,87
The Forest,Adventure,1h 17m,5.8,56
Lumina,Adventure,1h 53m,2.2,728
My Fathers' Daughter,Adventure,1h 18m,6.4,91
Chhota Bheem and the Curse of Damyaan,Adventure,2h 25m,4.8,2.3K
Elli and Her Monster Team,Adventure,1h 26m,4.8,120
Pimpinero: Blood and Oil,Adventure,2h 1m,5.6,598
Barroz: Guardian of Treasures,Adventure,2h 35m,3.4,1.1K
Jurassic Triangle,Adventure,1h 24m,2.5,298
A Trip Elsewhere,Adventure,1h 33m,5.5,116
All for One,Adventure,1h 37m,1.5,701
Niko: Beyond the Northern Lights,Adventure,1h 26m,6.1,370
The Goat,Adventure,1h 31m,5.7,391
My Redneck Neighbor: Chapter 2 - Let the Games Begin,Adventure,55m,5.7,11
Going Viral,Adventure,1h 30m,6.8,308
Formed Police Unit,Adventure,2h,4.7,1.5K
Warrior Awang and Master Tok Gajah,Adventure,1h 58m,4.6,488
Peter Brook's the Mahabharata (8K),Adventure,2h 53m,8.1,11
Shrek 5: The Contract - A Fan Made Film,Adventure,1h 24m,7.3,26
Kaizen,Adventure,2h 40m,7.0,804
Emma's Big Adventure,Adventure,1h 46m,5.3,149
Game On,Adventure,1h 25m,2.5,366
Treasure Trackers,Adventure,1h 32m,5.6,183
Appu,Adventure,1h 32m,8.2,204
Major Grom: The Game,Adventure,2h 48m,6.2,1.9K
Sentinelese,Adventure,1h 30m,N/A,N/A
Transformers Prime: Galavatron's Revenge,Adventure,1h 44m,4.7,21
Next to Us,Adventure,2h 5m,4.9,231
I Left My Heart in Colombia,Adventure,N/A,7.3,459
Un lío de millones,Adventure,1h 31m,5.2,316
Fox & Hare Save the Forest,Adventure,1h 11m,5.9,232
The Adventures of Jurassic Pet: Return to the Wild,Adventure,1h 30m,5.4,92
The Epic of Gilgamesh,Adventure,1h 19m,5.2,6
One Million Babes BC,Adventure,1h 15m,2.2,94
I Heart Robots,Adventure,1h 16m,4.5,2.4K
Dünya Varmis,Adventure,1h 40m,6.6,70
Dragon Ball Z Kai,Adventure,1h 22m,8.4,102
The Slave and the Sorcerer,Adventure,1h 26m,6.5,50
The Phantom Warrior,Adventure,1h 59m,2.4,574
The Star City Murders,Adventure,1h 19m,4.1,156
Buddy,Adventure,2h 17m,3.8,366
Teenz,Adventure,2h 2m,4.4,871
Rocky Road to Berlin,Adventure,1h 44m,7.2,1.6K
The Worlds Divide,Adventure,2h,7.9,39
Oculus,Adventure,1h 53m,6.0,15
Dünya Mali: Eksi Bir,Adventure,2h 13m,6.8,19
Space Ranger,Adventure,N/A,3.7,94
The Dragon's Tomb,Adventure,1h 17m,6.7,60
"Maya, donne-moi un titre",Adventure,1h 1m,6.5,75
Oscar Wilde About America,Adventure,1h 38m,4.4,36
Stinky Summer,Adventure,1h 30m,5.2,60
Kiyma: Orman Kanunlari,Adventure,1h 21m,3.8,46
Z-Mom,Adventure,1h 30m,4.8,48
Ghost Island,Adventure,1h 35m,6.9,61
Killer Witches from Outer Space,Adventure,N/A,6.8,84
LasseMajas detektivbyrå - Maskoten som försvann,Adventure,1h 30m,6.0,74
Road to Paradise,Adventure,1h 16m,N/A,N/A
The Trail,Adventure,1h 20m,7.8,38
Bremenskie muzykanty,Adventure,1h 55m,4.4,778
Trifole,Adventure,1h 40m,7.3,66
Gepack,Adventure,1h 37m,6.6,378
Permafrost,Adventure,1h 20m,5.7,117
Mong Vuot,Adventure,1h 36m,4.9,184
Marianengraben,Adventure,1h 27m,7.3,102
Memes & Nightmares,Adventure,1h 21m,5.7,96
Finding Christmas,Adventure,N/A,5.4,18
Tanning Zone,Adventure,N/A,7.6,8
Turma da Mônica Jovem: Reflexos do Medo,Adventure,1h 28m,2.8,262
Si Juki the Movie: Harta Pulau Monyet,Adventure,1h 47m,6.1,147
Spirit Riser,Adventure,1h 38m,6.1,42
Amazon Bullseye,Adventure,1h 53m,5.3,233
Zak & Wowo: The Legend of Lendarys,Adventure,1h 25m,5.7,106
Askepote,Adventure,1h 12m,3.4,90
Kodaikanal,Adventure,2h 53m,9.3,75
Arctic Hollow,Adventure,1h 10m,2.3,187
Mr. Blue Shirt: The Inspiration,Adventure,N/A,4.3,11
Mama,Adventure,1h 40m,8.5,7
The Epidemic,Adventure,1h 35m,5.9,72
Six Nine Five (695),Adventure,2h 17m,7.1,710
Fuuto PI: Portrait of Kamen Rider Skull,Adventure,1h 22m,7.3,58
Fights Break Sphere 3,Adventure,1h 21m,5.0,11
Yolki 11,Adventure,1h 32m,4.6,195
Surge of Power: Where There's Smoke,Adventure,1h 8m,5.6,16
Moy dikiy drug,Adventure,1h 40m,6.3,72
Al Leib Maa Al Eyal,Adventure,2h 7m,4.4,250
Ahl Al Kahf,Adventure,2h,5.3,310
Tulang Belulang Tulang,Adventure,1h 35m,7.1,53
Stranded Pearl,Adventure,1h 30m,6.2,47
Rocky and Bullwinkle,Adventure,1h 40m,9.1,19
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Adventure,1h 30m,6.9,65
Family Vacation,Adventure,N/A,6.1,8
Birds Flying East,Adventure,1h 40m,5.8,617
Death Game,Adventure,1h 28m,6.5,29
Die Chaosschwestern und Pinguin Paul,Adventure,1h 40m,5.6,76
Nanoshark,Adventure,N/A,4.7,30
Champions of the Golden Valley,Adventure,1h 21m,9.2,81
Duffle Bag Boy,Adventure,N/A,6.7,63
Iron Dusk,Adventure,N/A,2.8,58
Håkan Bråkan 2,Adventure,1h 32m,5.3,149
Benjamin Bat,Adventure,1h 15m,7.9,34
Steal the Naughty List,Adventure,1h 30m,4.8,132
The Secret of Pin-Up Island,Adventure,1h 47m,7.3,98
