Movie_Name,Genre,Duration,Ratings,Voting_counts
Izvan vremena,Biography,1h 35m,N/A,N/A
No More Trouble - Cosa rimane di una tempesta,Biography,1h 37m,8.4,23
Il ricercatore,Biography,1h 11m,6.4,9
Bhanu,Biography,2h 14m,N/A,N/A
Cartas Telepáticas,Biography,1h 10m,5.2,37
Ett hjärta är alltid rött,Biography,1h 43m,7.1,406
Paul Anka: His Way,Biography,1h 40m,7.3,12
All Access to Rossa 25 Shining Years,Biography,1h 31m,8.7,66
Un hombre libre,Biography,1h 28m,7.1,18
Kylie Minogue: Pop Icon,Biography,50m,5.5,14
Giroud,Biography,1h 20m,6.7,33
"Cruel, Usual, Necessary: The Passion of Silvio Narizzano",Biography,2h 14m,N/A,N/A
Pod szarym niebem,Biography,1h 21m,7.2,54
Beethoven's Nine,Biography,1h 30m,7.2,12
Ruki vverkh!,Biography,1h 42m,5.5,280
Shahid,Biography,1h 24m,6.6,90
Spyral,Biography,1h 23m,8.4,22
Nonkonform,Biography,1h 57m,7.7,25
"Steven Spielberg, l'homme et l'enfant",Biography,56m,6.7,58
Ray of Hope,Biography,1h 45m,7.5,13
Parviz Khan,Biography,1h 50m,5.9,230
L'amore e la gloria - La giovane Deledda,Biography,1h 45m,N/A,N/A
Beethoven's Nine: Ode to Humanity,Biography,1h 25m,6.8,27
Majnoon,Biography,N/A,6.9,35
A nuestros amigos,Biography,1h 30m,7.5,17
Diddy: Summit to Plummet,Biography,1h,2.4,225
Lafran,Biography,1h 39m,8.4,20
Fedya. Narodnyy futbolist,Biography,2h 5m,6.1,146
Ago,Biography,1h 20m,8.1,8
Blues Run the Game: The Strange Tale of Jackson C. Frank,Biography,N/A,5.8,7
Im Schatten der Träume,Biography,1h 30m,7.4,15
"Kati: Eine Kür, die bleibt",Biography,1h 39m,6.1,87
The Man Died,Biography,1h 45m,2.9,9
Clergyman,Biography,1h 54m,N/A,N/A
Barnen från Camp Ashraf,Biography,1h 28m,5.3,21
The Blood Brothers,Biography,1h 34m,N/A,N/A
The Razor's Edge,Biography,1h 10m,N/A,N/A
Reba McEntire: Country Gold,Biography,1h,7.4,11
Rory Gallagher: Calling Card,Biography,N/A,8.9,12
Blake Edwards: A Love Story in 24 Frames,Biography,N/A,7.5,82
Herman Brood and His Wild Romance,Biography,N/A,N/A,N/A
Maurice And I,Biography,1h 38m,8.8,28
Pensando ad Anna,Biography,N/A,7.8,7
Not Taken: Origins,Biography,1h 9m,9.0,8
Cinema Strada,Biography,1h 46m,N/A,N/A
Golpe a Golpe (Blow by Blow),Biography,1h 30m,8.1,23
Nollbudget,Biography,1h 12m,8.3,11
La Joia: Bad Gyal,Biography,1h 32m,5.6,93
Lulu in Turin,Biography,1h 16m,8.5,6
Light Blue,Biography,N/A,4.2,132
Maria,Biography,1h,4.2,22
Despierta tu alma,Biography,N/A,N/A,N/A
Carles Sabater. No espereu res de mi,Biography,1h 15m,8.0,21
Luiz Melodia: No Coração do Brasil,Biography,1h 15m,7.6,40
Meri Maa Karma,Biography,N/A,N/A,N/A
Legend of the Lizard,Biography,N/A,N/A,N/A
"À l'école de l'universel: Germaine Le Goff, l'histoire d'une pionnière",Biography,53m,6.8,6
Mehi Ek Vyaktitva Ek Vichar,Biography,N/A,N/A,N/A
The Swimming Diaries,Biography,1h 40m,N/A,N/A
Tejaswini (Odia),Biography,1h 35m,N/A,N/A
Que notre joie demeure,Biography,1h 48m,N/A,N/A
Atín Aya. Retrato del silencio,Biography,1h 19m,N/A,N/A
Graciano Rocchigiani - Das Herz eines Boxers,Biography,2h 3m,9.2,52
Soares é Fixe,Biography,1h 23m,4.8,80
The Truth: The Journey Within,Biography,1h 31m,6.3,10
Song of the Last Lacandon Holy Man,Biography,1h 7m,N/A,N/A
Oh Beautiful Grandmother!,Biography,N/A,N/A,N/A
Manyam Dheerudu,Biography,1h 54m,5.8,3.7K
Zvanetskiy,Biography,1h 30m,7.3,15
Gulag Eros of the Russian Mind,Biography,56m,N/A,N/A
Bad Case of the Country Blues: The Linda Martell Story,Biography,1h 29m,N/A,N/A
Sugarcane Baby,Biography,N/A,N/A,N/A
"Marisol, llámame Pepa",Biography,1h 27m,6.8,122
"François Truffaut, le scénario de ma vie",Biography,1h 38m,6.9,52
Janani: The Last Stand,Biography,N/A,N/A,N/A
9 sekund,Biography,1h 31m,4.6,69
"Señor Jazz, la película de Carlos Inzillo",Biography,1h 22m,N/A,N/A
My Barbara,Biography,56m,N/A,N/A
Louis Riel or Heaven Touches the Earth,Biography,N/A,4.0,7
Gevart,Biography,34m,7.3,70
The Thousand Colours of the Morning,Biography,1h 8m,N/A,N/A
Burkitt,Biography,1h 13m,N/A,N/A
Citizen Glenn,Biography,55m,N/A,N/A
"Jacques Demy, le rose et le noir",Biography,1h 28m,6.9,15
XX secoli di secondi,Biography,1h 56m,N/A,N/A
Mini Avengers,Biography,3h 20m,N/A,N/A
"Milva, diva per sempre",Biography,1h 29m,N/A,N/A
Veljko od mora,Biography,53m,7.4,17
Nema ne mogu,Biography,54m,N/A,N/A
Romina,Biography,N/A,7.5,13
Samuel: Hollywood vs. Hollywood,Biography,1h 49m,N/A,N/A
