Movie_Name,Genre,Duration,Ratings,Voting_counts
Bremenskie muzykanty,Family,1h 55m,4.4,778
Carol,Family,1h 55m,7.6,54
For Prophet,Family,1h 45m,5.3,113
My Private Line to God,Family,N/A,6.7,92
Prinsessa Pikkiriikki,Family,1h 15m,6.2,45
Double Tuckerr,Family,2h,5.2,1.5K
"Akiko, der fliegende Affe",Family,1h 10m,5.5,37
Too Old for Fairy Tales 2,Family,1h 35m,4.9,450
Hank's Christmas Wish 2: The Nutcracker,Family,55m,1.7,63
De Bellinga's: Pretpark op stelten,Family,1h 10m,3.0,144
Finding Christmas,Family,N/A,5.4,18
Si Juki the Movie: Harta Pulau Monyet,Family,1h 47m,6.1,147
Zak & Wowo: The Legend of Lendarys,Family,1h 25m,5.7,106
Askepote,Family,1h 12m,3.4,90
Nadanna Sambhavam,Family,2h,5.9,1.8K
Ducobu passe au vert!,Family,1h 30m,4.0,145
Inventors,Family,N/A,N/A,N/A
Aanandhapuram Diaries,Family,1h 55m,7.0,3.3K
Dear Family,Family,1h 56m,6.8,83
Planet 7693,Family,1h 50m,7.6,77
Grüsse vom Mars,Family,1h 25m,7.5,53
Candlelight My Way,Family,1h 35m,N/A,N/A
Vishesham,Family,2h 16m,6.7,1.4K
De Club van Sinterklaas Film: Het Grote Sneeuwavontuur,Family,1h 19m,5.8,52
Kattis Gang,Family,2h 24m,5.4,429
BeBe Winans' We Three Kings,Family,1h 30m,6.9,137
Yolki 11,Family,1h 32m,4.6,195
Super papa,Family,1h 30m,5.3,178
Waterdrop,Family,1h 48m,N/A,N/A
Moy dikiy drug,Family,1h 40m,6.3,72
Krispy Rishtey,Family,2h 13m,6.4,71
Karina,Family,1h 30m,6.3,70
Chithini,Family,2h 31m,6.1,554
Our Church Thinks We're Dating,Family,1h 42m,7.3,63
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Family,1h 30m,6.9,65
"Merry Birthday, Happy Christmas",Family,1h 24m,3.9,123
Hope,Family,1h 19m,4.4,59
Luv Ki Arrange Marriage,Family,2h 15m,4.3,5.6K
Die Chaosschwestern und Pinguin Paul,Family,1h 40m,5.6,76
14 Days Love,Family,1h 52m,6.4,12
The Magic Penguin,Family,1h 29m,3.3,35
Håkan Bråkan 2,Family,1h 32m,5.3,149
Haydi Tut Elimi,Family,1h 53m,6.8,31
Cricket,Family,N/A,7.5,17
Steal the Naughty List,Family,1h 30m,4.8,132
The Secret of Pin-Up Island,Family,1h 47m,7.3,98
Spirit of Friendship,Family,1h 25m,4.3,81
A Hero's Journey: The Making of Percy Jackson and the Olympians,Family,50m,7.4,259
Powder Pup,Family,1h 29m,5.9,87
Gina,Family,1h 40m,7.2,35
In the Sea of Grace,Family,1h 28m,N/A,N/A
Chitra,Family,2h 5m,7.6,18
Captain Avispa,Family,1h 36m,5.7,183
Mansarra,Family,2h 18m,7.3,47
Yaren Leylek,Family,1h 35m,5.1,40
Igrisca ne damo!,Family,1h 19m,6.5,36
Faith in the Family,Family,N/A,2.7,134
Heavens: The Boy and His Robot,Family,1h 38m,7.1,35
My Dear Donga,Family,2h 12m,5.7,165
Ne odna doma,Family,1h 19m,3.3,118
Thookudurai,Family,2h 5m,4.3,2.3K
Feather Christmas,Family,1h 34m,5.2,124
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,Family,1h 14m,5.3,12
Mountain Boy,Family,1h 33m,8.0,30
Little Town,Family,1h 30m,5.6,16
Gowri,Family,2h 10m,6.0,4.3K
Il migliore dei mali,Family,1h 30m,6.3,13
Pinnil Oral,Family,2h 7m,7.8,583
A Christmas Miracle,Family,1h 28m,5.8,70
Porch Pirates,Family,1h 47m,5.0,109
Inazuma Eleven Movie: The Legendary Kickoff,Family,N/A,7.1,16
Saving Christmas,Family,N/A,7.2,22
Letuchiy korabl,Family,1h 40m,3.3,414
De Grote Sinterklaasfilm - Stampij in de bakkerij,Family,1h 15m,3.2,79
Masha and the Bear. Wonder Park,Family,58m,7.2,23
Korporatsiya Morozov,Family,1h 23m,5.6,32
The Christmas Room,Family,1h 39m,6.1,54
Mr. Santa: A Christmas Extravaganza,Family,1h 38m,6.8,23
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,Family,1h 10m,7.3,85
The Land of Morning Calm,Family,1h 53m,6.4,40
Dikkie Dik en de Verdwenen Knuffel,Family,1h 2m,7.2,136
Ukraine Mon Amour,Family,N/A,N/A,N/A
Manyunya. Priklyucheniya v derevne,Family,1h 24m,5.7,126
Luigi's Mansion,Family,1h,5.9,20
Piraty galaktiki Barrakuda,Family,1h 32m,4.5,93
Al Eid Eiden,Family,1h 50m,5.7,17
A Soldier for Christmas,Family,1h 31m,8.4,19
De Legende van Familie Vos,Family,1h 21m,5.6,61
Oyunda Kal: Eglence Arenasi,Family,1h 32m,2.4,42
Awesomest Christmas Ever,Family,1h 18m,6.3,26
A Day with Santa,Family,N/A,N/A,N/A
Uma & Haggen: Mitos,Family,1h 34m,7.3,64
Príncipe Lu e a Lenda do Dragão,Family,1h 30m,4.1,29
Palayam PC,Family,1h 58m,6.5,1.7K
The Hedgehog,Family,1h 44m,6.6,695
Nature Cat's Nature Movie Special Extraordinaire,Family,53m,7.1,22
Rocket Club: Across the Cosmos,Family,1h 8m,7.5,22
Little Red Sweet,Family,1h 32m,5.9,24
Ivan Tsarevich i Seryy Volk 6,Family,1h 25m,5.3,116
A Game of Two Halves,Family,1h 40m,7.1,25
A Holiday for Harmony,Family,2h,3.6,38
My Dad Is an Alien,Family,1h 36m,7.8,23
Home Plate,Family,1h 25m,4.1,8
Woof Woof Daddy,Family,1h 45m,6.0,48
Baii Ga,Family,2h 14m,4.1,69
Alchemist,Family,N/A,N/A,N/A
Roboman the Movie,Family,N/A,6.3,6
Gabru Gang,Family,2h 3m,8.6,217
Oti Uttam,Family,2h 17m,5.2,215
Vaar Tahevaar,Family,2h 7m,7.9,291
Christmas Carole,Family,1h 33m,4.0,113
Mees Kees op eigen benen,Family,1h 22m,5.9,51
Tartinijev kljuc,Family,1h 55m,7.9,26
Our Christmas House,Family,1h 17m,5.2,50
Vasilisa i khraniteli vremeni,Family,1h 38m,2.9,87
Manyunya. Priklyucheniya v Moskve,Family,1h 27m,5.6,117
Pui Pui Molcar the Movie: Molmax,Family,1h 9m,6.4,22
Tarpana,Family,2h 18m,9.4,20
